"VA Station Number",Address,City,State,Zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source,"Census Year","State FIPS","County FIPS","Place Name","Place FIPS","Census Tract Code","Census Block Code","Census Block Group","Full FIPS","Metro/Micro Statistical Area Name","Metro/Micro Statistical Area Code","Metro/Micro Statistical Area Type","Combined Statistical Area Name","Combined Statistical Area Code","Metropolitan Division Area Name","Metropolitan Division Area Code"
vha_671GK02,"1714 Southwest Military Drive","San Antonio",TX,78221-1418,29.356317,-98.520324,1,rooftop,1714,"SW Military Dr",,,"San Antonio",TX,"Bexar County",78221,US,"San Antonio",2019,48,48029,"San Antonio",4865000,151301,3003,3,480291513013003,"San Antonio-New Braunfels, TX",41700,metropolitan,"San Antonio-New Braunfels-Pearsall, TX",484,,
vha_671GK03,"4243 East Southcross Boulevard","San Antonio",TX,78222-3750,29.37535,-98.411718,1,rooftop,4243,"E Southcross Blvd",,,"San Antonio",TX,"Bexar County",78222,US,"San Antonio",2019,48,48029,"San Antonio",4865000,141300,2011,2,480291413002011,"San Antonio-New Braunfels, TX",41700,metropolitan,"San Antonio-New Braunfels-Pearsall, TX",484,,
vha_671GL,"705 Landa Street","New Braunfels",TX,78130-4170,29.700833,-98.143636,1,rooftop,705,"Landa St",,,"New Braunfels",TX,"Comal County",78130,US,"New Braunfels",2019,48,48091,"New Braunfels",4850820,310300,3009,3,480913103003009,"San Antonio-New Braunfels, TX",41700,metropolitan,"San Antonio-New Braunfels-Pearsall, TX",484,,
vha_671GN,"526 East Court Street",Seguin,TX,78155-5712,29.569167,-97.960225,1,rooftop,526,"E Court St",,,Seguin,TX,"Guadalupe County",78155,US,Guadalupe,2019,48,48187,Seguin,4866644,210300,5045,5,481872103005045,"San Antonio-New Braunfels, TX",41700,metropolitan,"San Antonio-New Braunfels-Pearsall, TX",484,,
vha_671GO,"17440 Henderson Pass","San Antonio",TX,78232-1662,29.603679,-98.461087,1,rooftop,17440,"Henderson Pass",,,"San Antonio",TX,"Bexar County",78232,US,"San Antonio",2019,48,48029,"San Antonio",4865000,121118,1031,1,480291211181031,"San Antonio-New Braunfels, TX",41700,metropolitan,"San Antonio-New Braunfels-Pearsall, TX",484,,
vha_671GP,"4522 Fredricksburg Road","San Antonio",TX,78201-6521,29.489901,-98.550736,1,rooftop,4522,"Fredericksburg Rd",,,"San Antonio",TX,"Bexar County",78201,US,"San Antonio",2019,48,48029,"Balcones Heights",4805384,180800,1016,1,480291808001016,"San Antonio-New Braunfels, TX",41700,metropolitan,"San Antonio-New Braunfels-Pearsall, TX",484,,
vha_671GQ,"4350 Lockhill-Selma Road","San Antonio",TX,78249-2166,29.579011,-98.566824,1,rooftop,4350,"Lockhill-Selma Rd",,,"San Antonio",TX,"Bexar County",78249,US,Bexar,2019,48,48029,"Shavano Park",4867268,191503,2019,2,480291915032019,"San Antonio-New Braunfels, TX",41700,metropolitan,"San Antonio-New Braunfels-Pearsall, TX",484,,
vha_671GR,"16019 Nacogdoches Road","San Antonio",TX,78247-1128,29.587034,-98.361365,1,rooftop,16019,"Nacogdoches Rd",,,"San Antonio",TX,"Bexar County",78247,US,"San Antonio",2019,48,48029,"San Antonio",4865000,121812,2007,2,480291218122007,"San Antonio-New Braunfels, TX",41700,metropolitan,"San Antonio-New Braunfels-Pearsall, TX",484,,
vha_671QA,"3600 Memorial Boulevard",Kerrville,TX,78028-5768,30.016006,-99.118827,1,range_interpolation,3600,"Memorial Blvd",,,Kerrville,TX,"Kerr County",78028,US,"TIGER/Line® dataset from the US Census Bureau",2019,48,48265,Kerrville,4839040,960100,2107,2,482659601002107,"Kerrville, TX",28500,micropolitan,"Kerrville-Fredericksburg, TX",314,,
vha_671QB,"8410 Data Point Drive","San Antonio",TX,78229-3220,29.517233,-98.568672,1,rooftop,8410,"Data Point Dr",,,"San Antonio",TX,"Bexar County",78229,US,Bexar,2019,48,48029,"San Antonio",4865000,181003,2000,2,480291810032000,"San Antonio-New Braunfels, TX",41700,metropolitan,"San Antonio-New Braunfels-Pearsall, TX",484,,
vha_672,"10 Calle Casia","San Juan",PR,00921-3201,18.354794,-66.062925,0.8,range_interpolation,10,"Calle E",,,"San Juan",PR,"San Juan Municipio",00926,US,"TIGER/Line® dataset from the US Census Bureau",2019,72,72127,"San Juan",7276770,010002,2008,2,721270100022008,"San Juan-Bayamón-Caguas, PR",41980,metropolitan,"San Juan-Bayamón, PR",490,,
vha_672B0,"1010 Paseo Del Veterano",Ponce,PR,00716-2001,17.990567,-66.607542,0.33,place,,,,,Ponce,PR,"Ponce Municipio",00716,US,"TIGER/Line® dataset from the US Census Bureau",2019,72,72113,Ponce,7263820,072101,1004,1,721130721011004,"Ponce, PR",38660,metropolitan,"Ponce-Yauco-Coamo, PR",434,,
vha_672BZ,"345 Avenida Hostos",Mayaguez,PR,00680-1507,18.181938,-67.133802,0.33,place,,,,,Mayaguez,PR,"Mayagez Municipio",00680,US,"TIGER/Line® dataset from the US Census Bureau",2019,72,72097,Mayagüez,7252431,082022,2027,2,720970820222027,"Mayagüez, PR",32420,metropolitan,"Mayagüez-San Germán, PR",364,,
