VA Station Number,HCS,Address,City,State,County FIPS,Cases,Active,Convalescent,Deaths
vha_502GB,502,3149 Ambassador Caffery Parkway,Lafayette,LA,22055.0,,,,
vha_502GE,502,"3601 Gerstner Memorial Drive, Hwy 14",Lake Charles,LA,22019.0,,,,
vha_502GF,502,3353 University Parkway,Leesville,LA,22115.0,,,,
vha_502GG,502,740 Keyser Avenue,Natchitoches,LA,22069.0,,,,
vha_502QB,502,309 Saint Julien Avenue,Lafayette,LA,22055.0,,,,
vha_503,503,2907 Pleasant Valley Boulevard,Altoona,PA,42013.0,65.0,7.0,57.0,1.0
vha_503GA,503,598 Galleria Drive,Johnstown,PA,42021.0,,,,
vha_503GB,503,5690 Shaffer Road,DuBois,PA,42033.0,,,,
vha_503GC,503,2581 Clyde Avenue,State College,PA,42027.0,,,,
vha_503GD,503,13903 William Penn Highway,Mapleton Depot,PA,42061.0,,,,
vha_503GE,503,1570 Oakland Avenue,Indiana,PA,42063.0,,,,
vha_504,504,"6010 Amarillo Boulevard, West",Amarillo,TX,48375.0,205.0,20.0,179.0,6.0
vha_504BY,504,6104 Avenue Q South Drive,Lubbock,TX,48303.0,,,,
vha_504BZ,504,921 East Llano Estacado Boulevard,Clovis,NM,35009.0,,,,
vha_504GA,504,1001 Highway 83 North,Childress,TX,48075.0,,,,
vha_504HB,504,325 Denver Avenue,Dalhart,TX,48111.0,,,,
vha_506,506,2215 Fuller Road,Ann Arbor,MI,26161.0,327.0,14.0,284.0,29.0
vha_506GA,506,1200 South Detroit Avenue,Toledo,OH,39095.0,,,,
vha_506GB,506,2360 South Linden Road,Flint,MI,26049.0,,,,
vha_506GC,506,4328 Page Avenue,Michigan Center,MI,26075.0,,,,
vha_506QA,506,3800 Packard Road,Ann Arbor,MI,26161.0,327.0,14.0,284.0,29.0
vha_506QB,506,2500 Green Road,Ann Arbor,MI,26161.0,327.0,14.0,284.0,29.0
vha_508,508,1670 Clairmont Road,Decatur,GA,13089.0,,,,
vha_508GA,508,"1701 Hardee Avenue, Southwest",Atlanta,GA,13089.0,1344.0,65.0,1226.0,53.0
vha_508GE,508,4175 Tanners Creek Drive,Flowery Branch,GA,13139.0,,,,
vha_508GF,508,2041 Mesa Valley Way,Austell,GA,13067.0,,,,
vha_508GG,508,175 Medical Boulevard,Stockbridge,GA,13151.0,,,,
vha_508GH,508,455 Philip Boulevard,Lawrenceville,GA,13135.0,,,,
vha_508GI,508,39-A Oak Hill Court,Newnan,GA,13077.0,,,,
vha_508GJ,508,"1294 Highway 515, East",Blairsville,GA,13291.0,,,,
vha_508GK,508,180 Martin Drive,Carrollton,GA,13045.0,,,,
vha_508GL,508,30 Chateau Drive Southeast,Rome,GA,13115.0,,,,
vha_508GM,508,934 East Church Street,Jasper,GA,13227.0,,,,
vha_508GN,508,10155 Eagle Drive,Covington,GA,13217.0,,,,
vha_508GO,508,2217 Roswell Road,Marietta,GA,13067.0,,,,
vha_508GP,508,2400 Herodian Way Southeast,Smyrna,GA,13067.0,,,,
vha_508QB,508,2675 North Martin Street,East Point,GA,13121.0,,,,
vha_508QC,508,2296 Henderson Mill Road,Atlanta,GA,13089.0,1344.0,65.0,1226.0,53.0
vha_508QD,508,1513 Cleveland Avenue,East Point,GA,13121.0,,,,
vha_508QE,508,1970 Riverside Parkway,Lawrenceville,GA,13135.0,,,,
vha_508QF,508,250 North Arcadia Avenue,Decatur,GA,13089.0,,,,
vha_508QH,508,1800 Phoenix Boulevard,College Park,GA,13063.0,,,,
vha_508QI,508,3101 Clairmont Road Northeast,Brookhaven,GA,13089.0,,,,
vha_508QJ,508,2309 Parklake Drive Northeast,Atlanta,GA,13089.0,1344.0,65.0,1226.0,53.0
vha_509,509,950 15th Street,Augusta,GA,13245.0,535.0,20.0,485.0,30.0
vha_509A0,509,One Freedom Way,Augusta,GA,13245.0,535.0,20.0,485.0,30.0
vha_509GA,509,"9249 Highway 29, South",Athens,GA,13059.0,,,,
vha_509GB,509,951 Millbrook Avenue,Aiken,SC,45003.0,,,,
vha_509QA,509,658 Northside Drive East,Statesboro,GA,13031.0,,,,
vha_512,512,10 North Greene Street,Baltimore,MD,24510.0,447.0,20.0,395.0,32.0
vha_512A5,512,59 Avenue D,Perry Point,MD,24015.0,,,,
vha_512GA,512,830 Chesapeake Drive,Cambridge,MD,24019.0,,,,
vha_512GC,512,808 Landmark Drive,Glen Burnie,MD,24003.0,,,,
vha_512GD,512,3901 The Alameda,Baltimore,MD,24510.0,447.0,20.0,395.0,32.0
vha_512GE,512,1701 Market Place,Pocomoke City,MD,24047.0,,,,
vha_512GF,512,5235 King Avenue,Rosedale,MD,24005.0,,,,
vha_512GG,512,2479 5th Street,Fort Meade,MD,24003.0,,,,
vha_512QA,512,209 West Fayette Street,Baltimore,MD,24510.0,447.0,20.0,395.0,32.0
vha_515,515,5500 Armstrong Road,Battle Creek,MI,26025.0,154.0,5.0,134.0,15.0
vha_515BY,515,5838 Metro Way Southwest,Wyoming,MI,26081.0,,,,
vha_515GA,515,5000 Hakes Drive,Muskegon,MI,26121.0,,,,
vha_515GB,515,2025 South Washington Avenue,Lansing,MI,26065.0,,,,
vha_515GC,515,115 West Main Street,Benton Harbor,MI,26021.0,,,,
vha_515QA,515,2025 South Washington Avenue,Lansing,MI,26065.0,,,,
vha_515QB,515,620 Century Avenue Southwest,Grand Rapids,MI,26081.0,,,,
vha_516,516,10000 Bay Pines Boulevard,Bay Pines,FL,12103.0,943.0,36.0,873.0,34.0
vha_516BZ,516,2489 Diplomat Parkway East,Cape Coral,FL,12071.0,,,,
vha_516GA,516,5682 Bee Ridge Road,Sarasota,FL,12115.0,,,,
vha_516GB,516,840 Dr. Martin Luther King Jr. Street North,St. Petersburg,FL,12103.0,,,,
vha_516GC,516,35209 US Hwy 19 North,Palm Harbor,FL,12103.0,,,,
vha_516GD,516,5520 State Route 64,Bradenton,FL,12081.0,,,,
vha_516GE,516,4161 Tamiami Trail,Port Charlotte,FL,12015.0,,,,
vha_516GF,516,800 Goodlette Road North,Naples,FL,12021.0,,,,
vha_516GH,516,5901 US Highway 27 South,Sebring,FL,12055.0,,,,
vha_517,517,200 Veterans Avenue,Beckley,WV,54081.0,18.0,3.0,14.0,1.0
vha_517GB,517,228 Shamrock Lane,Ronceverte,WV,54025.0,,,,
vha_517HK,517,1780 Stadium Drive,Bluefield,WV,54055.0,,,,
vha_517QA,517,150 Courthouse Road,Princeton,WV,54055.0,,,,
vha_518,518,200 Springs Road,Bedford,MA,25017.0,303.0,2.0,264.0,37.0
vha_518GA,518,225 Boston Street,Lynn,MA,25009.0,,,,
vha_518GB,518,108 Merrimack Street,Haverhill,MA,25009.0,,,,
vha_518GE,518,199 Main Street,Gloucester,MA,25009.0,,,,
vha_519,519,300 Veterans Boulevard,Big Spring,TX,48227.0,130.0,7.0,118.0,5.0
vha_519GA,519,8050 East Highway 191,Odessa,TX,48135.0,,,,
vha_519GB,519,1601 North Turner Street,Hobbs,NM,35025.0,,,,
vha_519GD,519,1205 North Sycamore Street,Fort Stockton,TX,48371.0,,,,
vha_519HC,519,3850 Ridgemont Drive,Abilene,TX,48441.0,,,,
vha_519HF,519,4240 Southwest Boulevarrd,San Angelo,TX,48451.0,,,,
vha_520,520,400 Veterans Avenue,Biloxi,MS,28047.0,,,,
vha_520BZ,520,790 Veterans Way,Pensacola,FL,12033.0,,,,
vha_520GA,520,4444 Demetropolis Road,Mobile,AL,1097.0,,,,
vha_520GB,520,2600 Veterans Way,Panama City Beach,FL,12005.0,,,,
vha_520GC,520,100 Veterans Way,Eglin Air Force Base,FL,12091.0,,,,
vha_520QA,520,140 Richard Jackson Boulevard,Panama City Beach,FL,12005.0,,,,
vha_521,521,700 South 19th Street,Birmingham,AL,1073.0,537.0,44.0,461.0,32.0
vha_521GA,521,"500 Markaview Road, Northwest",Huntsville,AL,1089.0,,,,
vha_521GC,521,422 Cox Boulevard,Sheffield,AL,1033.0,,,,
vha_521GD,521,206 Rescia Avenue,Gadsden,AL,1055.0,,,,
vha_521GE,521,96 Ali Way,Oxford,AL,1015.0,,,,
vha_521GF,521,1454 Jones Dairy Road,Jasper,AL,1127.0,,,,
vha_521GG,521,"975 Ninth Avenue, Southwest",Bessemer,AL,1073.0,,,,
vha_521GH,521,"151 9th Avenue, Northwest",Childersburg,AL,1121.0,,,,
vha_521GI,521,100 Judy Smith Drive,Guntersville,AL,1095.0,,,,
vha_521GJ,521,2415 7th Avenue South,Birmingham,AL,1073.0,537.0,44.0,461.0,32.0
vha_521QA,521,1720 University Boulevard,Birmingham,AL,1073.0,537.0,44.0,461.0,32.0
vha_523,523,150 South Huntington Avenue,Boston,MA,25025.0,751.0,10.0,646.0,95.0
vha_523A4,523,1400 VFW Parkway,West Roxbury,MA,25025.0,,,,
vha_523A5,523,940 Belmont Street,Brockton,MA,25023.0,,,,
vha_523BY,523,130 Marshall Road,Lowell,MA,25017.0,,,,
vha_523BZ,523,251 Causeway Street,Boston,MA,25025.0,751.0,10.0,646.0,95.0
vha_523GA,523,61 Lincoln Street,Framingham,MA,25017.0,,,,
vha_523GC,523,110 West Squantam Street,Quincy,MA,25021.0,,,,
vha_523GD,523,116 Long Pond Road,Plymouth,MA,25023.0,,,,
vha_526,526,130 West Kingsbridge Road,Bronx,NY,36005.0,782.0,3.0,686.0,93.0
vha_526GA,526,23 South Broadway,White Plains,NY,36119.0,,,,
vha_526GB,526,124 New Main Street,Yonkers,NY,36119.0,,,,
vha_526GD,526,4103 Queens Boulevard,Sunnyside,NY,36081.0,,,,
vha_526QA,526,130 West Kingsbridge Road,Bronx,NY,36005.0,782.0,3.0,686.0,93.0
vha_528,528,3495 Bailey Avenue,Buffalo,NY,36029.0,388.0,10.0,336.0,42.0
vha_528A4,528,222 Richmond Avenue,Batavia,NY,36037.0,,,,
vha_528A5,528,400 Fort Hill Avenue,Canandaigua,NY,36069.0,,,,
vha_528A6,528,76 Veterans Avenue,Bath,NY,36101.0,,,,
vha_528A7,528,800 Irving Avenue,Syracuse,NY,36067.0,30.0,0.0,27.0,3.0
vha_528A8,528,113 Holland Avenue,Albany,NY,36001.0,52.0,3.0,42.0,7.0
vha_528G2,528,7426 NYS Route 9N,Westport,NY,36031.0,,,,
vha_528G3,528,109 North Main Street,Bainbridge,NY,36017.0,,,,
vha_528G4,528,1316 College Avenue,Elmira,NY,36015.0,,,,
vha_528G5,528,47 East Genesee Street,Auburn,NY,36011.0,,,,
vha_528G6,528,2623 State Highway 30A,Fonda,NY,36057.0,,,,
vha_528G7,528,159 Jefferson Heights,Catskill,NY,36039.0,,,,
vha_528G8,528,3458 Riverside Drive,Wellsville,NY,36003.0,,,,
vha_528G9,528,1451 Dryden Road,Freeville,NY,36109.0,,,,
vha_528GB,528,608 West 3rd Street,Jamestown,NY,36013.0,,,,
vha_528GC,528,1170 Central Avenue,Dunkirk,NY,36013.0,,,,
vha_528GD,528,2201 Pine Avenue,Niagara Falls,NY,36063.0,,,,
vha_528GE,528,465 Westfall Road,Rochester,NY,36055.0,,,,
vha_528GK,528,5725 South Transit Road,Lockport,NY,36063.0,,,,
vha_528GL,528,6100 St. Lawrence Centre,Massena,NY,36089.0,,,,
vha_528GM,528,125 Brookley Road,Rome,NY,36065.0,,,,
vha_528GN,528,203 Court Street,Binghamton,NY,36007.0,,,,
vha_528GO,528,144 Eastern Boulevard,Watertown,NY,36045.0,,,,
vha_528GP,528,437 State Route 104E,Oswego,NY,36075.0,,,,
vha_528GQ,528,1234 Abbott Road,Lackawanna,NY,36029.0,,,,
vha_528GQ01,528,15 Commerce Drive,Springville,NY,36029.0,,,,
vha_528GR,528,465 North Union Street,Olean,NY,36009.0,,,,
vha_528GT,528,101 Ridge Street,Glens Falls,NY,36113.0,,,,
vha_528GV,528,80 Sharron Avenue,Plattsburgh,NY,36019.0,,,,
vha_528GW,528,1346 Gerling Street,Schenectady,NY,36093.0,,,,
vha_528GX,528,295 River Street,Troy,NY,36083.0,,,,
vha_528GY,528,963 Route 146,Clifton Park,NY,36091.0,,,,
vha_528GZ,528,324 Plaza Road,Kingston,NY,36111.0,,,,
vha_528QA,528,2963 Main Street,Buffalo,NY,36029.0,388.0,10.0,336.0,42.0
vha_528QB,528,1325 Main Street,Buffalo,NY,36029.0,388.0,10.0,336.0,42.0
vha_528QC,528,260 Calkins Road,Rochester,NY,36055.0,,,,
vha_528QE,528,24 Maple View Lane,Coudersport,PA,42105.0,,,,
vha_528QF,528,1835 Shumway Hill Road,Wellsboro,PA,42117.0,,,,
vha_528QG,528,620 Erie Boulevard West,Syracuse,NY,36067.0,30.0,0.0,27.0,3.0
vha_528QH,528,572 South Salina Street,Syracuse,NY,36067.0,30.0,0.0,27.0,3.0
vha_528QI,528,910 Erie Boulevard East,Syracuse,NY,36067.0,30.0,0.0,27.0,3.0
vha_528QK,528,33 Depot Street,Saranac Lake,NY,36033.0,,,,
vha_528QN,528,19472 US Route 11,Watertown,NY,36045.0,,,,
vha_529,529,353 North Duffy Road,Butler,PA,42019.0,61.0,2.0,54.0,5.0
vha_529A4,529,325 New Castle Road,Butler,PA,42019.0,61.0,2.0,54.0,5.0
vha_529GA,529,295 North Kerrwood Drive,Hermitage,PA,42085.0,,,,
vha_529GB,529,1750 New Butler Road,New Castle,PA,42073.0,,,,
vha_529GC,529,11 Hilltop Plaza,Kittanning,PA,42005.0,,,,
vha_529GD,529,56 Clarion Plaza,Monroe Township,PA,42031.0,,,,
vha_529GF,529,900 Commonwealth Drive,Cranberry Township,PA,42019.0,,,,
vha_531,531,500 West Fort Street,Boise,ID,16001.0,325.0,22.0,290.0,13.0
vha_531GE,531,260 2nd Avenue East,Twin Falls,ID,16083.0,,,,
vha_531GG,531,4521 Thomas Jefferson Street,Caldwell,ID,16027.0,,,,
vha_531GH,531,635 Highway 20 North,Hines,OR,41025.0,,,,
vha_531GI,531,815 North 6th East,Mountain Home,ID,16039.0,,,,
vha_531GJ,531,705 Lena Street,Salmon,ID,16059.0,,,,
vha_534,534,109 Bee Street,Charleston,SC,45019.0,975.0,40.0,916.0,19.0
vha_534BY,534,1170 Shawnee Street,Savannah,GA,13051.0,,,,
vha_534GB,534,3381 Phillis Boulevard,Myrtle Beach,SC,45051.0,,,,
vha_534GC,534,1 Pinckney Boulevard,Beaufort,SC,45013.0,,,,
vha_534GD,534,2418 NNPTC Circle,Goose Creek,SC,45015.0,,,,
vha_534GE,534,500 East Oglethorpe Highway,Hinesville,GA,13179.0,,,,
vha_534GF,534,9237 University Boulevard,North Charleston,SC,45019.0,,,,
vha_534QA,534,1101 Johnson Avenue,Myrtle Beach,SC,45051.0,,,,
vha_534QB,534,9229 University Boulevard,North Charleston,SC,45019.0,,,,
vha_534QC,534,2424 City Hall Lane,North Charleston,SC,45019.0,,,,
vha_537,537,820 South Damen Avenue,Chicago,IL,17031.0,730.0,24.0,658.0,48.0
vha_537BY,537,9301 Madison Street,Crown Point,IN,18089.0,,,,
vha_537GA,537,30 East 15th Street,Chicago Heights,IL,17031.0,,,,
vha_537GD,537,211 East Ontario Street,Chicago,IL,17031.0,730.0,24.0,658.0,48.0
vha_537HA,537,7731 South Halsted Street,Chicago,IL,17031.0,730.0,24.0,658.0,48.0
vha_537QA,537,1141 South California Avenue,Chicago,IL,17031.0,730.0,24.0,658.0,48.0
vha_538,538,17273 State Route 104,Chillicothe,OH,39141.0,87.0,9.0,76.0,2.0
vha_538GA,538,88 North Plains Road,The Plains,OH,39009.0,,,,
vha_538GB,538,4038 Rhodes Avenue,New Boston,OH,39145.0,,,,
vha_538GC,538,27843 State Route 7,Marietta,OH,39167.0,,,,
vha_538GD,538,1703 North Memorial Drive,Lancaster,OH,39045.0,,,,
vha_538GE,538,2146 Southgate Parkway,Cambridge,OH,39059.0,,,,
vha_538GF,538,448 West Main Street,Wilmington,OH,39027.0,,,,
vha_538QA,538,17273 State Route 104,Chillicothe,OH,39141.0,87.0,9.0,76.0,2.0
vha_539,539,3200 Vine Street,Cincinnati,OH,39061.0,244.0,22.0,215.0,7.0
vha_539A4,539,1000 South Fort Thomas Avenue,Fort Thomas,KY,21037.0,,,,
vha_539GA,539,103 Landmark Drive,Bellevue,KY,21037.0,,,,
vha_539GB,539,4600 Beechwood Road,Cincinnati,OH,39025.0,244.0,22.0,215.0,7.0
vha_539GC,539,1600 Flossie Drive,Greendale,IN,18029.0,,,,
vha_539GD,539,7310 Turfway Road,Florence,KY,21015.0,,,,
vha_539GE,539,1750 South Erie Highway,Hamilton,OH,39017.0,,,,
vha_539GF,539,474 Home Street,Georgetown,OH,39015.0,,,,
vha_539QA,539,3200 Vine Street,Cincinnati,OH,39061.0,244.0,22.0,215.0,7.0
vha_539QB,539,2929 Highland Avenue,Cincinnati,OH,39061.0,244.0,22.0,215.0,7.0
vha_539QC,539,909 Vine Street,Cincinnati,OH,39061.0,244.0,22.0,215.0,7.0
vha_539QD,539,4600 Smith Road,Norwood,OH,39061.0,,,,
vha_540,540,1 Medical Center Drive,Clarksburg,WV,54033.0,25.0,4.0,20.0,1.0
vha_540GA,540,260 Spruce Street,Parsons,WV,54093.0,,,,
vha_540GB,540,2311 Ohio Avenue,Parkersburg,WV,54107.0,,,,
vha_540GC,540,40 Reston Place,Gassaway,WV,54007.0,,,,
vha_540GD,540,40 Commerce Drive,Westover,WV,54061.0,,,,
vha_540HK,540,1 Medical Center Drive,Clarksburg,WV,54033.0,25.0,4.0,20.0,1.0
vha_541,541,10701 East Boulevard,Cleveland,OH,39035.0,739.0,19.0,647.0,73.0
vha_541BY,541,733 Market Avenue South,Canton,OH,39151.0,,,,
vha_541BZ,541,2031 Belmont Avenue,Youngstown,OH,39099.0,,,,
vha_541GB,541,5255 North Abbe Road,Sheffield Village,OH,39093.0,,,,
vha_541GC,541,1912 Hayes Avenue,Sandusky,OH,39043.0,,,,
vha_541GD,541,1025 South Trimble Road,Mansfield,OH,39139.0,,,,
vha_541GF,541,35000 Kaiser Court,Willoughby,OH,39085.0,,,,
vha_541GG,541,55 West Waterloo Road,Akron,OH,39153.0,,,,
vha_541GH,541,15655 State Route 170,Calcutta,OH,39029.0,,,,
vha_541GI,541,"1460 Tod Avenue, Northwest",Warren,OH,39155.0,,,,
vha_541GJ,541,1260 Monroe Avenue,New Philadelphia,OH,39157.0,,,,
vha_541GK,541,6751 North Chestnut Street,Ravenna,OH,39133.0,,,,
vha_541GL,541,8787 Brookpark Road,Parma,OH,39035.0,,,,
vha_541GM,541,8901 Superior Avenue,Cleveland,OH,39035.0,739.0,19.0,647.0,73.0
vha_541QA,541,111 East Voris Street,Akron,OH,39153.0,,,,
vha_541QB,541,7000 Euclid Avenue,Cleveland,OH,39035.0,739.0,19.0,647.0,73.0
vha_541QC,541,10701 East Boulevard,Cleveland,OH,39035.0,739.0,19.0,647.0,73.0
vha_541QD,541,10701 East Boulevard,Cleveland,OH,39035.0,739.0,19.0,647.0,73.0
vha_541QE,541,10701 East Boulevard,Cleveland,OH,39035.0,739.0,19.0,647.0,73.0
vha_541QF,541,10701 East Boulevard,Cleveland,OH,39035.0,739.0,19.0,647.0,73.0
vha_542,542,1400 Black Horse Hill Road,Coatesville,PA,42029.0,113.0,3.0,100.0,10.0
vha_542GA,542,4883 West Chester Pike,Newtown Square,PA,42045.0,,,,
vha_542GE,542,11 Independence Drive,Spring City,PA,42029.0,,,,
vha_544,544,6439 Garners Ferry Road,Columbia,SC,45079.0,1228.0,91.0,1083.0,54.0
vha_544BZ,544,41 Park Creek Drive,Greenville,SC,45045.0,,,,
vha_544GB,544,1822 Sally Hill Farms Boulevard,Florence,SC,45041.0,,,,
vha_544GC,544,2670 Mills Park Drive,Rock Hill,SC,45091.0,,,,
vha_544GD,544,3030 North Highway 81,Anderson,SC,45007.0,,,,
vha_544GE,544,1767 Village Park Drive,Orangeburg,SC,45075.0,,,,
vha_544GF,544,407 North Salem Avenue,Sumter,SC,45085.0,,,,
vha_544GG,544,279 North Grove Medical Park Drive,Spartanburg,SC,45083.0,,,,
vha_544HK,544,6439 Garners Ferry Road,Columbia,SC,45079.0,1228.0,91.0,1083.0,54.0
vha_546,546,1201 Northwest 16th Street,Miami,FL,12086.0,1074.0,21.0,1024.0,29.0
vha_546BZ,546,9800 West Commercial Boulevard,Sunrise,FL,12011.0,,,,
vha_546GA,546,1492 West Flagler Street,Miami,FL,12086.0,1074.0,21.0,1024.0,29.0
vha_546GB,546,1300 Douglas Circle,Key West,FL,12087.0,,,,
vha_546GC,546,950 Krome Avenue,Homestead,FL,12086.0,,,,
vha_546GD,546,7369 Sheridan Street,Hollywood,FL,12011.0,,,,
vha_546GE,546,105662 Overseas Highway,Key Largo,FL,12087.0,,,,
vha_546GF,546,3702 Washington Street,Hollywood,FL,12011.0,,,,
vha_546GH,546,2100 Southwest 10th Street,Deerfield Beach,FL,12011.0,,,,
vha_548,548,7305 North Military Trail,West Palm Beach,FL,12099.0,658.0,27.0,596.0,35.0
vha_548GA,548,1901 South 25th Street,Fort Pierce,FL,12111.0,,,,
vha_548GB,548,4800 Linton Boulevard,Delray Beach,FL,12099.0,,,,
vha_548GC,548,3501 Southeast Willoughby Boulevard,Stuart,FL,12085.0,,,,
vha_548GD,548,901 Meadows Road,Boca Raton,FL,12099.0,,,,
vha_548GE,548,372 17th Street,Vero Beach,FL,12061.0,,,,
vha_548GF,548,1201 North Parrot Avenue,Okeechobee,FL,12093.0,,,,
vha_548QA,548,128 Southwest Chamber Court,Port Saint Lucie,FL,12111.0,,,,
vha_549,549,4500 South Lancaster Road,Dallas,TX,48113.0,851.0,53.0,763.0,35.0
vha_549A4,549,1201 East 9th Street,Bonham,TX,48147.0,,,,
vha_549A5,549,2300 Marie Curie Boulevard,Garland,TX,48113.0,,,,
vha_549BY,549,2201 Southeast Loop 820,Fort Worth,TX,48439.0,,,,
vha_549GD,549,2223 Colorado Boulevard,Denton,TX,48121.0,,,,
vha_549GE,549,1713 South FM 51,Decatur,TX,48497.0,,,,
vha_549GF,549,1210 Paluxy Medical Circle,Granbury,TX,48221.0,,,,
vha_549GH,549,4006 Wellington Road,Greenville,TX,48231.0,,,,
vha_549GJ,549,3811 North US Highway 75,Sherman,TX,48181.0,,,,
vha_549GK,549,4243 South Polk Street,Dallas,TX,48113.0,851.0,53.0,763.0,35.0
vha_549GL,549,3804 15th Street,Plano,TX,48085.0,,,,
vha_549GM,549,2737 Sherman Street,Grand Prairie,TX,48439.0,,,,
vha_549HK,549,4500 South Lancaster Road,Dallas,TX,48113.0,851.0,53.0,763.0,35.0
vha_549QA,549,4900 South Lancaster Road,Dallas,TX,48113.0,851.0,53.0,763.0,35.0
vha_549QB,549,1518 East Lancaster Road,Fort Worth,TX,48439.0,,,,
vha_549QC,549,7916 South Broadway Avenue,Tyler,TX,48423.0,,,,
vha_550,550,1900 East Main Street,Danville,IL,17183.0,94.0,12.0,79.0,3.0
vha_550BY,550,7717 North Orange Prairie Road,Peoria,IL,17143.0,,,,
vha_550GA,550,792 North Sunnyside Road,Decatur,IL,17115.0,,,,
vha_550GD,550,5850 South 6th Street,Springfield,IL,17167.0,,,,
vha_550GF,550,501 Lakeland Boulevard,Mattoon,IL,17029.0,,,,
vha_550GG,550,207 Hamilton Road,Bloomington,IL,17113.0,,,,
vha_552,552,4100 West Third Street,Dayton,OH,39113.0,219.0,19.0,189.0,11.0
vha_552GA,552,4337 North Union Road,Middletown,OH,39165.0,,,,
vha_552GB,552,750 West High Street,Lima,OH,39003.0,,,,
vha_552GC,552,1010 North J Street,Richmond,IN,18177.0,,,,
vha_552GD,552,1620 North Limestone Street,Springfield,OH,39023.0,,,,
vha_552GF,552,4881 Sugar Maple Drive,Wright Patterson AFB,OH,39057.0,,,,
vha_552QC,552,4100 West Third Street,Dayton,OH,39113.0,219.0,19.0,189.0,11.0
vha_553,553,4646 John R Street,Detroit,MI,26163.0,376.0,3.0,319.0,54.0
vha_553BU,553,4777 East Outer Drive,Detroit,MI,26163.0,376.0,3.0,319.0,54.0
vha_553GA,553,7470 Brockway Road,Yale,MI,26147.0,,,,
vha_553GB,553,44200 Woodward Avenue,Pontiac,MI,26125.0,,,,
vha_553QA,553,301 Piquette Street,Detroit,MI,26163.0,376.0,3.0,319.0,54.0
vha_554,554,1700 North Wheeling Street,Aurora,CO,8001.0,585.0,23.0,528.0,34.0
vha_554A4,554,2600 Oakshire Lane,Pueblo,CO,8101.0,,,,
vha_554A5,554,1055 Clermont Street,Denver,CO,8031.0,,,,
vha_554BU,554,7350 West Eastman Place,Lakewood,CO,8059.0,,,,
vha_554GB,554,13701 East Mississippi Avenue,Aurora,CO,8005.0,585.0,23.0,528.0,34.0
vha_554GC,554,1020 Johnson Road,Golden,CO,8059.0,,,,
vha_554GD,554,4776 Eagleridge Circle,Pueblo,CO,8101.0,,,,
vha_554GE,554,3141 Centennial Boulevard,Colorado Springs,CO,8041.0,,,,
vha_554GF,554,622 Del Sol Drive,Alamosa,CO,8003.0,,,,
vha_554GG,554,1100 Carson Avenue,La Junta,CO,8089.0,,,,
vha_554GH,554,1401 South Main Street,Lamar,CO,8099.0,,,,
vha_554GI,554,1177 Rose Avenue,Burlington,CO,8063.0,,,,
vha_554GJ,554,4545 East 9th Avenue,Denver,CO,8031.0,,,,
vha_554QA,554,3836 York Street,Denver,CO,8031.0,,,,
vha_554QB,554,14400 East Jewell Avenue,Aurora,CO,8005.0,585.0,23.0,528.0,34.0
vha_554QC,554,920 Rush Drive,Salida,CO,8015.0,,,,
vha_556,556,3001 Greenbay Road,North Chicago,IL,17097.0,1738.0,122.0,1605.0,11.0
vha_556GA,556,1942 Dempster Street,Evanston,IL,17031.0,,,,
vha_556GC,556,3715 Municipal Drive,McHenry,IL,17111.0,,,,
vha_556GD,556,8207 22nd Avenue,Kenosha,WI,55059.0,,,,
vha_557,557,1826 Veterans Boulevard,Dublin,GA,13175.0,541.0,47.0,478.0,16.0
vha_557GA,557,5566 Thomaston Road,Macon,GA,13021.0,,,,
vha_557GB,557,814 Radford Boulevard,Albany,GA,13095.0,,,,
vha_557GC,557,2249 Vinson Highway Southeast,Milledgeville,GA,13009.0,,,,
vha_557GE,557,1111 Glynco Parkway,Brunswick,GA,13127.0,,,,
vha_557GF,557,1824 Ridge Avenue North,Tifton,GA,13277.0,,,,
vha_557HA,557,2370 South Houston Lake Road,Kathleen,GA,13153.0,,,,
vha_558,558,508 Fulton Street,Durham,NC,37063.0,462.0,27.0,408.0,27.0
vha_558GA,558,401 Moye Boulevard,Greenville,NC,37147.0,,,,
vha_558GB,558,3305 Sungate Boulevard,Raleigh,NC,37183.0,,,,
vha_558GC,558,5420 Highway 70 West,Morehead City,NC,37031.0,,,,
vha_558GD,558,1830 Hillandale Road,Durham,NC,37063.0,462.0,27.0,408.0,27.0
vha_558GE,558,1824 Hillandale Road,Durham,NC,37063.0,462.0,27.0,408.0,27.0
vha_558GF,558,3040 Hammond Business Place,Raleigh,NC,37183.0,,,,
vha_558GG,558,2600 Atlantic Avenue,Raleigh,NC,37183.0,,,,
vha_558GH,558,11618 US 70 Business Highway West,Clayton,NC,37183.0,,,,
vha_558QA,558,8081 Arco Corporate Drive,Raleigh,NC,37183.0,,,,
vha_561,561,385 Tremont Avenue,East Orange,NJ,34013.0,,,,
vha_561A4,561,151 Knollcroft Road,Lyons,NJ,34035.0,1025.0,6.0,898.0,121.0
vha_561BY,561,20 Washington Place,Newark,NJ,34013.0,,,,
vha_561BZ,561,970 Route 70,Brick,NJ,34029.0,,,,
vha_561GA,561,3635 Quakerbridge Road,Hamilton,NJ,34021.0,,,,
vha_561GD,561,385 Prospect Avenue,Hackensack,NJ,34003.0,,,,
vha_561GE,561,115 Christopher Columbus Drive,Jersey City,NJ,34017.0,,,,
