county,totpop,medhhincome,medhvalue,male,age_under18,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75_84,age_85pl,race_white,race_black,race_nativeam,race_asian,married,divorced,educ_lesshs,educ_somecoll,educ_college,educ_collpl,urate_all,urate_male,urate_female,HSdropout_male,HSdropout_female,ind_agmining,ind_const,ind_manuf,ind_wholesale,ind_retail,ind_transport,ind_info,ind_FIRE,ind_pro,ind_educhealth,ind_artentertain,ind_otherserve,ind_public,occ_mgmtbiz,occ_pro,occ_healthsupp,occ_protective,occ_food,occ_building,occ_personalcare,occ_sales,occ_officeadmin,occ_farming,occ_constextract,occ_production,occ_transport,income_less10k,income_10k15,income_15k20,income_20k25,income_25k30,income_30k35,income_35k40,income_40k45,income_45k50,income_50k60,income_60k75,income_75k100,income_100k125,income_125k150,income_150kpl,rent_share_income,poverty_under18,poverty_18_64,poverty_65pl,poverty_white,poverty_black,poverty_nativeA,vetshare_18_64,vetshare_65pl,year
13287,7962,35453.98296760547,68427.91631941797,.48266768,.24302939,.068450138,.11441848,.15347902,.1066315,.13363476,.11065059,.051996987,.017709117,.54898268,.4299171,.002135142,.0082893744,.48613736,.11704474,.58044511,.29460052,.072053991,.0529004,.061371841,.057888761,.065300897,.067873307,.13533835,.060576923,.074358977,.10224359,.025,.19711539,.058653846,.0083333338,.01923077,.032051284,.3099359,.033974361,.027884616,.050641026,.08878205,.21153846,.040384617,.024038462,.01698718,.11378205,.0073717949,.125,.10064103,.044871796,.068589747,.062820517,.095192306,.18392326,.098577574,.060866687,.015216672,.074429378,.028779358,.050942771,.058551107,.04862719,.049619582,.11147866,.12669533,.017532254,.045980815,.028779358,.16807073,.54007334,.29066792,.28622928,.2219843,.51945645,1,.06819313,.043305125,2018
13289,8284,30549.36583033259,58441.13934307048,.49106711,.19266056,.075205214,.10514244,.11347175,.13157895,.17008692,.13025108,.071221635,.010381458,.55589086,.42370835,0,.0010864317,.40432277,.14106628,.66826051,.23759274,.051112942,.043033801,.069268636,.060606062,.078734361,0,0,.031356253,.099735551,.14884776,.0011333586,.11862486,.07291273,.0049112202,.055912353,.058179069,.15640348,.086135246,.049867775,.11598036,.10502455,.12391386,.016244806,.055156782,.06989044,.026445033,.014355875,.10162448,.12806952,.0079335095,.16735928,.1091802,.074801661,.14945562,.11712306,.060046189,.057076871,.070603758,.078851864,.041900363,.067304522,.030023094,.039590895,.086440116,.090729132,.023754537,.049158692,.037941273,.20958319,.25379747,.27498475,.225731,.18219872,.37510729,,.044337928,.049880169,2018
13291,22775,41591.22730019975,182351.14997553,.4850933,.16500549,.057694841,.088913284,.084083423,.11907794,.16465423,.19007684,.10015368,.030340286,.96930844,.0064983536,.006630077,.0075960485,.58924776,.11688772,.45252216,.32316557,.11642095,.10789132,.037120495,.01756029,.057197791,.1164557,.012158055,.048158642,.12772509,.05173051,.011208277,.13523833,.062938787,.003941372,.053208522,.059613254,.2476906,.099765979,.063308291,.035472348,.15334401,.20655254,.042369749,.02204705,.062199779,.026850598,.019953197,.097548962,.11787166,.023401897,.12784825,.049020816,.050991502,.098346196,.05203969,.0615215,.041896362,.075854465,.063065052,.051598676,.055898566,.028555678,.092171997,.099117972,.1477398,.058985665,.019184124,.054024257,.19502868,.28391758,.13150518,.090319857,.13251789,.34090909,.68531471,.024459524,.084530011,2018
13293,26216,33778.42371935161,80633.97706828712,.47692248,.23203388,.082392432,.11225969,.11695148,.13659598,.14021972,.1054318,.055080868,.019034177,.69270676,.28108788,.0033567287,.0040051877,.45271164,.13057445,.56006229,.30250931,.082679577,.054748788,.081688851,.067713261,.09486448,.052173913,.08233276,.018190905,.06516742,.15652174,.016091954,.10694653,.043178409,.020889556,.049475264,.074462771,.2585707,.06356822,.056071963,.070864566,.11594203,.20239881,.029485257,.031984009,.043678161,.048875563,.027786108,.076561719,.12213893,.0013993003,.099350326,.10144927,.098950528,.15660526,.049588397,.067816541,.072226577,.064876519,.071442574,.046746373,.047530379,.053900432,.072618581,.086730696,.087514699,.045766365,.035476282,.04116033,.20630184,.31238508,.20628722,.15889925,.19019751,.29883933,0,.040133115,.045000747,2018
13295,68824,40363.22361273776,105415.979194779,.49520516,.22130361,.078809716,.11689236,.12550855,.1404016,.13621701,.10407706,.059034638,.017755434,.92092872,.040930491,.0015837499,.0075264443,.51157266,.13910255,.54375219,.29718283,.10527518,.053789783,.064190373,.061886288,.066742763,.062342886,.0110117,.0097017977,.068423204,.17589189,.025122549,.13065088,.069240198,.010552832,.052219499,.076116554,.20438454,.083129086,.056270424,.038296569,.10910267,.17007081,.024714053,.021480121,.050994009,.036934912,.020731209,.1331359,.11053241,.0025531047,.1078091,.11311955,.098822169,.085456453,.052860867,.076004513,.07678245,.054844607,.06421876,.049282353,.052666381,.052744176,.076938041,.10155977,.1099226,.065230072,.030845229,.050643742,.20123711,.2665869,.1701868,.087564081,.17315529,.18643425,.46938777,.034980077,.04373445,2018
13297,90132,53974.83075087063,162285.1258656467,.48567656,.25227445,.084664717,.11668442,.12884437,.14641859,.12113345,.091554612,.044290595,.014134824,.78085476,.17005059,.0019748814,.011804909,.5546912,.096524611,.50536287,.29576829,.13135217,.067516692,.060444672,.057471264,.06388206,.058680695,.033958893,.0078467289,.1054234,.11133939,.037698954,.1478997,.06668482,.014604322,.062724322,.093121119,.17723212,.070769079,.05594198,.048714075,.13423599,.15559791,.030347286,.025619445,.042971361,.035471175,.020470804,.12228025,.12908736,.0059407409,.13827075,.069630437,.090076484,.054732919,.043233868,.038190987,.050589405,.049914882,.040407285,.036231652,.052998427,.055792887,.089904606,.11290271,.13577233,.093694791,.050171845,.095461406,.19530581,.19561219,.11013521,.095313802,.092042603,.28468883,.11797753,.035810299,.039077934,2018
13299,35599,36883.57159773817,75825.52889449018,.49869379,.24006292,.080732606,.13163291,.12719458,.12590241,.12888002,.09323296,.04901823,.023343353,.64569229,.29835108,.0050001405,.011320543,.45699435,.12826186,.57926297,.28185615,.083626285,.05525456,.034523115,.026967224,.043005746,.16987179,.062417001,.021893939,.080984846,.13416667,.027575757,.11166666,.074393943,.011439394,.042045455,.053939395,.24030302,.077575758,.043636363,.080378786,.090151519,.17409091,.031136364,.034772728,.045984849,.034015153,.015303031,.097348481,.14469697,.011969697,.12666667,.099772729,.094090909,.11322927,.075965755,.07452701,.063592546,.067117475,.06503129,.041363932,.050787713,.04193943,.0827998,.096827567,.11243796,.051291276,.033666644,.029422345,.19615413,.39187071,.1960488,.14902532,.19886778,.32602018,.78571427,.037075371,.039293241,2018
13301,5346,32114.88559153224,56684.20635649083,.46296296,.21099888,.054994389,.12457912,.10624766,.13318369,.16068089,.12177329,.064908341,.022633744,.37336326,.6111111,0,.0084175086,.40434286,.13965714,.68858308,.17711519,.083078489,.051223241,.080288872,.12037037,.039451115,.37209302,.38613862,.065127023,.03556582,.27020785,.022632794,.13579677,.086836025,.0050808312,.012009238,.059584297,.22540416,.019861432,.019861432,.042032331,.055889145,.14272517,.042032331,.033256352,.024942264,.038337182,.0069284067,.11039261,.13302541,.012933025,.09330254,.15334873,.15288684,.13336192,.13207547,.054030877,.066037737,.066466555,.051457975,.092195541,.057032589,.02058319,.10634648,.065180101,.057032589,.044596914,.015437393,.038164664,.2138785,.39377779,.24271844,.18371212,.12302999,.3343682,,.018492177,.027027028,2018
13303,20461,35223.73227620634,77027.64093793942,.506378,.22237428,.086750403,.12658228,.12247691,.13660134,.13787206,.097746931,.052196864,.017398953,.44587263,.53003275,.00048873469,.0060603097,.39795676,.11142311,.62372667,.23655914,.096208259,.043505941,.07358025,.062035374,.084305786,.025695931,.068965517,.06836354,.055570364,.13166311,.011727079,.13686034,.094749466,.00026652453,.043443497,.045309167,.20255864,.064099148,.037979744,.10740938,.10581023,.17590618,.031316631,.0625,.059968017,.032515991,.011727079,.095815562,.12460022,.019856077,.098081023,.077691898,.10421108,.11550482,.093355075,.080717489,.056529421,.044571273,.065226257,.055714093,.048647914,.048104361,.079358608,.06074195,.14213888,.049463242,.026362278,.033564344,.20319228,.40934372,.24327797,.1450665,.16267383,.35731265,,.034226753,.037183844,2018
13305,29767,41490.43482886439,99775.29960628647,.50562704,.24758962,.078845702,.13582155,.12843081,.13531764,.12352605,.093089662,.04363893,.013740048,.75049549,.19938187,.001478147,.004736789,.4929494,.11475757,.58643389,.28493765,.079052366,.049576059,.075770773,.087811269,.062104873,.14896373,.13810742,.018281192,.10035808,.14719185,.0060309083,.11458726,.050697323,.022427442,.030908406,.047964569,.22908029,.076894082,.082642294,.072936296,.083396152,.20665285,.026385223,.029023746,.045985676,.061157182,.015077271,.10318507,.08791934,.013286845,.14427064,.098379195,.085280813,.10460736,.085096106,.046363372,.063266687,.047619049,.059596252,.054573555,.03989182,.062976912,.071959816,.097846039,.12237999,.057954215,.039795227,.046073601,.15993224,.26900667,.19152901,.092657752,.12149135,.47275314,1,.05459179,.043682374,2018
13307,2613,33062.70470271337,56221.85557054882,.47990814,.23918867,.070417143,.08916954,.10065059,.15422885,.13700727,.14848833,.052430157,.0084194411,.5078454,.39992347,.0019135093,0,.5323121,.078506462,.67294902,.21008869,.069290467,.04767184,.022181146,0,.044943821,0,0,.12003781,.034971643,.1852552,.0415879,.071833648,.070888467,.0047258982,.037807185,.048204158,.20037808,.037807185,.032136105,.11436673,.12098299,.14650284,.049149338,.070888467,.0094517963,.058601134,0,.090737239,.1247637,.066162571,.063327029,.10396975,.095463134,.090826519,.12897366,.059945505,.13079019,.025431426,.050862852,.064486831,.054495912,.065395094,.0417802,.07538601,.10263397,.059037238,.0045413258,.045413259,.16243882,.4224,.22771588,.12614259,.11698113,.27639157,0,.023641851,.036217302,2018
13309,7939,25545.80562486812,58533.60950025888,.63068396,.16929084,.13994206,.15505731,.15341982,.1318806,.11172692,.086786747,.040181383,.011714322,.5688374,.42562035,.0045345761,0,.31309101,.092789598,.70751274,.16429614,.1143326,.013858497,.11029072,.10861132,.11275627,.15355805,0,.059128631,.088692948,.080912866,.026452282,.098547719,.063796684,.02593361,.0010373445,.06120332,.28941908,.042012449,.015041494,.14782158,.068983406,.10321577,.023858922,.039937761,.067946061,.015560166,.0057053943,.058609959,.16390042,.015560166,.23392116,.068983406,.13381743,.10480124,.18275684,.077439338,.11461022,.073825501,.062983997,.045431077,.022715539,.026845638,.099122353,.080536909,.048012391,.037170883,.0067114094,.017036654,.1976399,.34644479,.26522872,.17853752,.19905801,.36486486,1,.041698255,.027141774,2018
