HCS,totpop-log,medhhincome-log,medhvalue-log,male,age_under18,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75_84,age_85pl,race_white,race_black,race_nativeam,race_asian,married,divorced,educ_lesshs,educ_somecoll,educ_college,educ_collpl,urate_all,urate_male,urate_female,HSdropout_male,HSdropout_female,ind_agmining,ind_const,ind_manuf,ind_wholesale,ind_retail,ind_transport,ind_info,ind_FIRE,ind_pro,ind_educhealth,ind_artentertain,ind_otherserve,ind_public,occ_mgmtbiz,occ_pro,occ_healthsupp,occ_protective,occ_food,occ_building,occ_personalcare,occ_sales,occ_officeadmin,occ_farming,occ_constextract,occ_production,occ_transport,income_less10k,income_10k15,income_15k20,income_20k25,income_25k30,income_30k35,income_35k40,income_40k45,income_45k50,income_50k60,income_60k75,income_75k100,income_100k125,income_125k150,income_150kpl,rent_share_income,poverty_under18,poverty_18_64,poverty_65pl,poverty_white,poverty_black,poverty_nativeA,vetshare_18_64,vetshare_65pl,Num-Services,Avg-Satisfaction,Log-Cases,Log-Deaths
534,17.83643,15.65158876,17.50410758,0.489948067,0.217324887,0.100713878,0.152754116,0.119153695,0.11942135,0.126478866,0.103684149,0.044297763,0.016171292,0.656390695,0.270881393,0.003481979,0.018462509,0.478814412,0.114279748,0.366996335,0.32312931,0.196316106,0.113558238,0.065665146,0.0644534,0.06683346,0.041674439,0.031119959,0.005218569,0.073893333,0.074310508,0.019351652,0.127669271,0.05433966,0.017411964,0.056515477,0.115941267,0.206936848,0.1362826,0.04846778,0.063661077,0.140851191,0.205306104,0.026091664,0.026327769,0.078810838,0.051324008,0.028891531,0.121988388,0.10613129,0.002610617,0.091562852,0.045708692,0.074395046,0.065734941,0.042854825,0.045173744,0.050314186,0.051988962,0.052550921,0.048857892,0.049963252,0.043587075,0.089020922,0.106806116,0.126482114,0.083958602,0.045783369,0.096923086,0.228707115,0.225368297,0.135885284,0.081354974,0.101978019,0.248631736,0.177221906,0.078583907,0.049612625,8.940963723,0.87410672,9.930737338,4.321928095
537,21.49068541,15.76213493,17.56788543,0.484864346,0.226203346,0.090696952,0.153419785,0.132677278,0.1285739,0.125386341,0.081043215,0.042570787,0.019428399,0.578150927,0.236563161,0.00275198,0.057952023,0.42604297,0.093548911,0.391356861,0.267254976,0.207200013,0.13418815,0.0782048,0.07938257,0.076932606,0.045329275,0.028337755,0.002255659,0.050891928,0.112182605,0.027216142,0.100709693,0.070175352,0.01975981,0.072861869,0.131564704,0.228792658,0.09954002,0.049162155,0.034887402,0.157528278,0.218515734,0.03268539,0.024722746,0.057719835,0.036268689,0.029506046,0.103137133,0.119689078,0.000847976,0.066684269,0.063371382,0.089323446,0.076159817,0.043473765,0.047328077,0.04863603,0.04526586,0.044820931,0.041364028,0.042939683,0.036592316,0.074038713,0.093967951,0.122736139,0.088181059,0.057506284,0.136989356,0.206579045,0.229225768,0.138373331,0.107315102,0.100356307,0.27281745,0.160322585,0.021484731,0.027147793,9.24876869,0.864885294,9.513727596,5.614709844
538,16.32158271,15.51092602,16.88008927,0.501259769,0.217547664,0.106118788,0.119541857,0.121540572,0.135967273,0.136845889,0.093925362,0.050751874,0.017760724,0.915788409,0.041618898,0.002404371,0.01024442,0.497434851,0.122070616,0.496339071,0.291268735,0.130492389,0.081899802,0.060110247,0.063144273,0.056819085,0.024980696,0.0355473,0.016029527,0.06327986,0.122865548,0.024057933,0.125962884,0.059816195,0.01534316,0.050312795,0.068759647,0.269600615,0.087109098,0.043268963,0.053593773,0.122596604,0.21475752,0.036447777,0.025147637,0.064580421,0.036395447,0.021354336,0.09697344,0.11922356,0.003797639,0.088282078,0.076075529,0.094368008,0.083732614,0.05509718,0.054107091,0.060056832,0.050957123,0.05441088,0.04830277,0.046194498,0.039251753,0.076281497,0.102968711,0.119978944,0.086745612,0.048747798,0.073166704,0.17572299,0.218240212,0.168922475,0.090128086,0.161783481,0.272427866,0.414988846,0.048734184,0.042405396,6.219201518,0.937268754,6.459431619,1.584962501
539,18.41447518,15.77049051,17.16739818,0.488370218,0.235844513,0.09707752,0.133318272,0.122200195,0.132816825,0.133353798,0.084670943,0.042003972,0.018713966,0.808775638,0.13238458,0.001535885,0.022753888,0.483975008,0.114048934,0.393726476,0.283632987,0.201837511,0.120803036,0.052923018,0.056001383,0.049571851,0.033243864,0.027835731,0.004370722,0.054395529,0.132923785,0.028129654,0.120443317,0.053596379,0.016179022,0.078467413,0.115563127,0.229128539,0.092824824,0.042076986,0.031900695,0.161858902,0.230288353,0.030334776,0.019018751,0.057928384,0.032741696,0.024697934,0.105296719,0.123603607,0.001492389,0.069942642,0.064737915,0.078057935,0.067628284,0.043437486,0.045810163,0.044925747,0.044955488,0.045814291,0.042990421,0.04309537,0.03752667,0.077071905,0.099927802,0.129244286,0.093250985,0.060935841,0.123385262,0.163228348,0.185913186,0.126126534,0.077821971,0.102063504,0.267789106,0.218177544,0.037806474,0.037018427,6.579640045,0.859671353,7.936637939,3
540,16.17628297,15.4405245,16.90303688,0.49533073,0.196436552,0.117882892,0.131907966,0.119126771,0.127858213,0.13431039,0.100025637,0.051764069,0.020687521,0.941794488,0.020215263,0.00114611,0.01389186,0.476480865,0.122627159,0.452862695,0.275013655,0.155987529,0.116136115,0.06396066,0.068784225,0.058839097,0.031726951,0.027586924,0.034249476,0.059363141,0.07133039,0.020026078,0.13380687,0.044701401,0.013087872,0.040893781,0.08043363,0.292130768,0.100622485,0.039574452,0.069779658,0.123694935,0.251404013,0.033793781,0.022097819,0.067514166,0.039054065,0.025050555,0.105658492,0.11783156,0.00151519,0.092944768,0.047574741,0.071865918,0.091456898,0.054995496,0.062255256,0.058592295,0.056753897,0.053492823,0.046324102,0.048264656,0.043604014,0.078392236,0.096226504,0.111987721,0.074618427,0.045154821,0.077880859,0.18314302,0.215694965,0.186857827,0.083489612,0.170975915,0.363025879,0.315038217,0.040883406,0.045465952,5.940618219,0.936238645,4.700439718,1
541,18.60952311,15.5346156,16.85988872,0.486158817,0.211616244,0.089973332,0.122653251,0.115036491,0.133936657,0.145949155,0.100886481,0.053648933,0.026299452,0.79371283,0.147549657,0.002345728,0.018172668,0.460235349,0.123920759,0.439096906,0.295666515,0.164328464,0.100908115,0.066015124,0.071366821,0.060359829,0.047747641,0.034499011,0.007090216,0.051782098,0.160253558,0.027375077,0.114737464,0.047788749,0.016323866,0.059489566,0.092606314,0.244810696,0.096597523,0.046099346,0.035045524,0.139395215,0.212589498,0.03665735,0.019457584,0.062520979,0.036637242,0.024413481,0.102843395,0.123139119,0.002235771,0.071043618,0.087651891,0.081414863,0.076297839,0.05176208,0.054564149,0.055571237,0.053138042,0.053361403,0.048788932,0.050040259,0.043490253,0.080769775,0.100644549,0.121983704,0.079109279,0.046920121,0.083558379,0.177988582,0.224946205,0.144149348,0.08214689,0.109633969,0.337726466,0.275911331,0.037145621,0.044652273,9.032239092,0.89697103,9.531381461,6.209453366
542,19.04412618,16.22429019,18.01611658,0.486613098,0.226262859,0.096402105,0.121865,0.120753667,0.140541434,0.138484033,0.087383172,0.045370508,0.02293722,0.771328042,0.139282108,0.001407436,0.053636865,0.507682669,0.08285236,0.330943338,0.220775759,0.261732118,0.18654879,0.051965848,0.053545855,0.05055968,0.03732963,0.019532322,0.014132143,0.053411416,0.091309077,0.026220795,0.100849155,0.046053848,0.021059898,0.091986264,0.139624866,0.261842372,0.080495951,0.044011661,0.029002559,0.200866748,0.266186056,0.031200707,0.016160614,0.050409189,0.029225103,0.030082365,0.100402815,0.117388057,0.007793681,0.062150092,0.032596605,0.05553796,0.041876019,0.027521802,0.030276134,0.0339415,0.034892558,0.035516544,0.034332748,0.034037634,0.031476374,0.067704467,0.087491294,0.124175087,0.102468517,0.078820505,0.235468818,0.168587985,0.1082772,0.082588766,0.057861026,0.061671015,0.190188574,0.279737627,0.026901789,0.037212994,5.695165752,0.943653742,6.832890014,3.459431619
544,18.11704831,15.55647228,17.07635941,0.482404807,0.230815022,0.110136425,0.134788162,0.12412378,0.131027047,0.123702659,0.088460049,0.042140422,0.014806432,0.61950184,0.316005695,0.002946173,0.020704897,0.458292837,0.105033641,0.39130245,0.311018239,0.185856884,0.111822431,0.065629661,0.064418042,0.066988909,0.038508672,0.027547345,0.006903378,0.053189295,0.150421603,0.029023033,0.117130837,0.048708427,0.018841044,0.062885475,0.097280492,0.226344953,0.091200594,0.051541459,0.046529408,0.135920816,0.217169873,0.027933095,0.01999788,0.056491425,0.039079809,0.026612254,0.112624306,0.120789925,0.003234567,0.073727781,0.089389687,0.077028581,0.076360278,0.051140529,0.05106484,0.054951552,0.056081138,0.053287206,0.048010972,0.046457752,0.043910576,0.081032704,0.10449332,0.123786727,0.076290532,0.046353537,0.086778339,0.196783936,0.216450339,0.144356839,0.095084859,0.106317143,0.232842805,0.27621158,0.054198724,0.038745299,6.756417859,0.838287846,10.2632692,5.781359714
546,20.84228285,15.61367474,17.88158568,0.488117131,0.207046462,0.083351736,0.137737568,0.135840576,0.147165377,0.128341357,0.088569158,0.049199211,0.022748553,0.681536529,0.231029461,0.002260817,0.02676091,0.424066176,0.133658491,0.415295608,0.277259963,0.193745175,0.113699259,0.062850345,0.060886747,0.064990755,0.051769778,0.03066493,0.005173435,0.072428669,0.044610197,0.035938945,0.124473842,0.067530487,0.021015676,0.078061045,0.134724507,0.20095308,0.118454941,0.057846579,0.038788596,0.155728583,0.185760891,0.031309318,0.027896686,0.062507284,0.053132341,0.030182664,0.128808805,0.128847991,0.003571138,0.088125214,0.03007998,0.074049106,0.076160549,0.04961799,0.051286856,0.052150562,0.052019972,0.049338746,0.045470815,0.046859684,0.041552805,0.077365509,0.096899709,0.116302349,0.079035356,0.048628567,0.117310533,0.291054967,0.208786829,0.132274712,0.159792765,0.129930521,0.223361698,0.183592568,0.021632222,0.020934793,6.965993408,0.860280566,10.07012094,4.906890596
548,19.23637343,15.66807728,17.68078774,0.487121316,0.190085998,0.074219883,0.111164372,0.109932989,0.129743697,0.13618397,0.125433546,0.083022704,0.040212841,0.769860208,0.161854069,0.002635273,0.022053427,0.479688931,0.125319647,0.392823024,0.294540955,0.195800894,0.116835108,0.064709276,0.064698987,0.064651165,0.048790767,0.042942615,0.013890759,0.081179279,0.046887339,0.026508561,0.136977268,0.04483198,0.017520406,0.071638724,0.139175367,0.210620764,0.116918269,0.057563154,0.036288123,0.14626023,0.19800863,0.033786139,0.023964517,0.069704984,0.057725057,0.032595635,0.130204965,0.114185897,0.008318858,0.091970003,0.029920901,0.063354168,0.059584105,0.043194231,0.050935304,0.053300946,0.053003825,0.050331056,0.047643753,0.047917387,0.042687238,0.08158358,0.099040661,0.117729828,0.0782032,0.048651201,0.126193678,0.256756699,0.196321716,0.12769454,0.089047639,0.110269567,0.223412272,0.180771558,0.028216118,0.059317119,6.498615548,0.808651905,9.364134655,5.169925001
