VA Station Number,HCS,Address,City,State,County FIPS,totpop-log,medhhincome-log,medhvalue-log,male,age_under18,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75_84,age_85pl,race_white,race_black,race_nativeam,race_asian,married,divorced,educ_lesshs,educ_somecoll,educ_college,educ_collpl,urate_all,urate_male,urate_female,HSdropout_male,HSdropout_female,ind_agmining,ind_const,ind_manuf,ind_wholesale,ind_retail,ind_transport,ind_info,ind_FIRE,ind_pro,ind_educhealth,ind_artentertain,ind_otherserve,ind_public,occ_mgmtbiz,occ_pro,occ_healthsupp,occ_protective,occ_food,occ_building,occ_personalcare,occ_sales,occ_officeadmin,occ_farming,occ_constextract,occ_production,occ_transport,income_less10k,income_10k15,income_15k20,income_20k25,income_25k30,income_30k35,income_35k40,income_40k45,income_45k50,income_50k60,income_60k75,income_75k100,income_100k125,income_125k150,income_150kpl,rent_share_income,poverty_under18,poverty_18_64,poverty_65pl,poverty_white,poverty_black,poverty_nativeA,vetshare_18_64,vetshare_65pl,Num-Services,Avg-Satisfaction,Log-Cases,Log-Deaths,Cases,Active,Convalescent,Deaths,vetpop,vetpop-adj
vha_436GA,436,118 East 7th Street,Anaconda,MT,30023,13.15180936,15.47855525,16.76334983,0.53131866,0.15604396,0.08054944900000001,0.098461539,0.12285715,0.1445055,0.17571428,0.13054945,0.06527472299999999,0.026043955,0.92879122,0.006923077,0.017252747,0.006703297,0.47632694,0.13531025,0.4790557,0.34705627,0.12984022,0.044047792,0.030407192000000006,0.023183925,0.038022812,0.23922414,0.29126215,0.064357787,0.07362967,0.034905918,0.013089719,0.11098991,0.028906463,0.007635669,0.029179165,0.071175344,0.29151896,0.17043905,0.018543769,0.085628577,0.10662667,0.19661848,0.065994002,0.042541586,0.095445871,0.039541859,0.022907009,0.08944641099999999,0.11371694,0.025361331,0.10144532,0.043632396,0.056722116,0.084824905,0.08560311,0.06562905,0.07263294599999999,0.049286641,0.06095979400000001,0.049805447,0.07989624099999999,0.054474708,0.096498057,0.072892345,0.084824905,0.051102463,0.043320362,0.048249029000000006,0.15681018,0.23697725,0.2357019,0.044684131,0.17931725,0.07272727,0.32142857,0.044921875,0.056119792,4.0,0.8950000109999999,6.442943496,2.0,86.0,14.0,69.0,3.0,368,368
vha_436GB,436,1400 29th Street South,Great Falls,MT,30013,16.31887817,15.47855525,17.27659935,0.50484425,0.22483057,0.099307612,0.13753578,0.10883713,0.11706994,0.13385364,0.099772468,0.05685905,0.021933794,0.88072813,0.012905831,0.048320409,0.008636508000000001,0.52402061,0.1309749,0.39908415,0.34047675,0.17602129,0.08441782,0.040801477,0.047096871,0.034135900000000004,0.035776112,0.078644499,0.032945894,0.06952233599999999,0.038174972,0.026714351,0.12709637,0.058034625,0.01782763,0.06651493900000001,0.066216908,0.25107697,0.11119239,0.055596195,0.079086401,0.14717278,0.20840445,0.040477931,0.023625674,0.06749031700000001,0.035817821,0.029911404,0.11192392,0.12035005,0.010593622,0.096453443,0.035980385,0.071798205,0.065584719,0.055452328,0.050749041,0.068110555,0.06410405,0.06166531099999999,0.052055512000000005,0.050255489,0.050574847,0.08750435699999999,0.10268842,0.10184648,0.082075253,0.038265008,0.069068633,0.18363787,0.14841539,0.13329667,0.08430355,0.11306522,0.091703057,0.36675823,0.092639968,0.059447668,5.0,0.900000006,6.442943496,2.0,86.0,14.0,69.0,3.0,5386,5386
vha_436GC,436,2687 Palmer Street,Missoula,MT,30063,16.82356627,15.47855525,17.93712669,0.50328064,0.19145909,0.14332272,0.15544519,0.12335429,0.11547382,0.12543218,0.090366691,0.03902296,0.016123053000000002,0.91685849,0.00512144,0.023063725,0.016209273,0.45542866,0.116933,0.25761464,0.31704125,0.25844416,0.16689996,0.042933624,0.047513142,0.038045321,0.034101982,0.009966778,0.027018605,0.065863691,0.03616504,0.025133222,0.12262769,0.055283744,0.024182742000000004,0.055564214,0.1051139,0.26328337,0.13258438,0.04803827,0.039141137,0.13350369,0.24994546,0.030477734,0.015394684,0.089719221,0.040449999,0.032565676,0.099192873,0.12551031,0.007837577,0.086244509,0.027174421,0.061983857,0.075913429,0.057912279,0.056904212,0.051534727,0.045815505,0.055710994000000014,0.05447663,0.054291476,0.037154377,0.08986175099999999,0.093194537,0.11839615,0.070502795,0.045095459,0.093235679,0.19098888,0.13106841,0.17068891,0.071920291,0.14118451,0.19175628,0.23423061,0.042684227000000005,0.040955085,7.0,0.875,6.442943496,2.0,86.0,14.0,69.0,3.0,3974,3974
vha_436GD,436,300 North Willson Avenue,Bozeman,MT,30031,16.67631524,15.47855525,18.22091863,0.51796544,0.20261818,0.16165532,0.15933505,0.13364971,0.10945392,0.11569861,0.074315615,0.032321516,0.010952076000000002,0.9425565,0.003361056,0.00858406,0.014026678,0.49099365,0.098221809,0.22056504,0.28916025,0.31663138,0.17364334,0.032631051,0.032381009,0.032944959,0.024070023,0.010869565,0.036611088,0.11001741,0.06567229299999999,0.025077006,0.12369426,0.030467389,0.011986072,0.052614838,0.11041918,0.22267979,0.13347061,0.04863064,0.028659435,0.16847461,0.23998928,0.019318335,0.01446364,0.07508035,0.038603187,0.033380207,0.10837686,0.08966117400000001,0.012505022,0.10496183,0.04745882,0.047726665,0.059830893,0.038537573,0.033773966,0.045301892,0.046969157,0.038442302000000005,0.051089674,0.050041683,0.039395023,0.084363461,0.10541860000000003,0.13114208,0.098249376,0.057758722,0.11968561,0.196491,0.076542974,0.14290550000000002,0.058081016,0.11379053,0.30000001,0.36915886,0.038305268,0.031545516,5.0,0.870000005,6.442943496,2.0,86.0,14.0,69.0,3.0,3116,3116
vha_436GF,436,31 Three Mile Drive,Kalispell,MT,30029,16.58171549,15.47855525,17.87188471,0.49777737,0.22252809,0.071287289,0.11720805,0.12263209,0.12429396,0.16004975,0.11279338,0.052435718,0.016771682,0.94507658,0.003639812,0.015833691,0.006362024,0.55380273,0.13048801,0.36005718,0.3411729,0.20153326,0.097236663,0.037265945,0.041426484,0.032592274,0.028061224,0.033658106,0.044726949,0.092262536,0.059889343,0.018794611,0.14030494,0.038771804,0.011868058,0.076973431,0.10094184,0.22298011,0.11143726,0.045529418,0.035519704,0.14803396,0.19833593,0.03606876,0.017759852,0.063373737,0.041327026,0.025003167000000003,0.10793175,0.12524813,0.010960003,0.11547071,0.038455039,0.07203193,0.050036598,0.049853604,0.040128622,0.056781344,0.060153719,0.054846805,0.05714733900000001,0.056598347,0.047971349,0.080361813,0.11513124,0.12378438,0.07719858,0.044625118,0.08538115800000001,0.18623267,0.15684800000000002,0.11550628,0.07502428400000001,0.11487667,0.10481586,0.15119363,0.057322334,0.056391224,7.0,0.8050000070000001,6.442943496,2.0,86.0,14.0,69.0,3.0,4355,4355
vha_436GH,436,1766 Majestic Lane,Billings,MT,30111,17.26789309,15.47855525,17.61373747,0.49280807,0.23585062,0.082076594,0.13926978,0.12290896,0.12357429,0.13505602,0.092455775,0.046636589000000006,0.022171389,0.90716404,0.006292138,0.043987934000000006,0.006387185,0.51735044,0.13072485,0.36591664,0.32449231,0.21827911,0.091311939,0.034293029,0.037292693,0.030976906,0.053837951,0.043491036,0.03077933,0.083989792,0.050361674,0.038000397000000005,0.11740735,0.063007832,0.022480678,0.06341657,0.092932522,0.23130946,0.1089353,0.059539735,0.037839379,0.13587496,0.20911366,0.037542112,0.016807867,0.061682522,0.040948275,0.03128716,0.10488506,0.1138154,0.004310345,0.11642885,0.041344628,0.085959174,0.050319109,0.0392772,0.050903499000000005,0.053287197,0.046551328,0.052318338,0.04544406,0.045536332,0.04212226,0.081138022,0.12256824,0.12661284,0.088965781,0.051549405,0.10340638,0.17517804,0.11289292,0.099392392,0.077981092,0.091626324,0.14802632,0.2269101,0.052762315,0.046996761,11.0,0.8555922220000001,6.442943496,2.0,86.0,14.0,69.0,3.0,6216,3108
vha_436GI,436,630 2nd Avenue South,Glasgow,MT,30105,12.87900881,15.47855525,16.89506243,0.49522039,0.21866702,0.075809881,0.10873606,0.10634626,0.11763144,0.15613383,0.1125863,0.07634094400000001,0.027748274,0.86457783,0.0007966010000000001,0.085369095,0.003983006,0.58302343,0.10202102,0.43582988,0.35566428,0.15506209,0.053443734000000014,0.055789735,0.096125551,0.014543631,0.008130080999999999,0.0,0.1200105,0.11580882,0.007352941,0.03072479,0.12683824,0.089285716,0.025735294,0.029936975,0.035189077,0.22268908,0.068277314,0.066176474,0.06197479,0.15992647,0.19931723,0.009191177,0.023634454,0.027310925,0.043067228,0.025997899,0.098739497,0.16859244,0.039915968,0.10136554,0.024947479,0.077993698,0.055005822,0.06461001200000001,0.067811407,0.055296857000000005,0.053841677,0.037834693,0.0387078,0.039580908,0.047438882,0.06315483200000001,0.10826542,0.18335274,0.10942957,0.022991851,0.052677531,0.10951648,0.089108914,0.08646974699999999,0.10283912,0.06363777799999999,0.0,0.29690048,0.037892949,0.056754459000000014,4.0,0.8999999759999999,6.442943496,2.0,86.0,14.0,69.0,3.0,254,254
vha_436GK,436,2000 Montana Avenue,Glendive,MT,30021,13.16616308,15.47855525,17.143794399999994,0.53062779,0.2136873,0.084974431,0.1354586,0.12033511,0.11228376,0.15439017,0.095528238,0.063758023,0.019584376,0.94755739,0.012403438,0.02132521,0.001958438,0.58517832,0.10088824,0.43003413,0.35960287,0.15032579,0.060037233,0.014794082,0.016712142,0.012077294,0.0,0.010638298,0.13210227,0.08563311400000001,0.024147727,0.019480519,0.1075487,0.094764613,0.014001624,0.028814934,0.018465908,0.23538961,0.091923699,0.068790585,0.078936689,0.2012987,0.14366883,0.06960227299999999,0.031047078,0.05986201400000001,0.035105519,0.026582792,0.05965909,0.08867694400000001,0.02049513,0.14021915,0.029626623,0.094155841,0.042296074,0.025679758,0.021399798,0.05840886400000001,0.095417924,0.046827793,0.045568984000000014,0.044058409000000014,0.036253776,0.08710976699999999,0.10901309,0.13519637,0.13746223,0.028952669,0.086354479,0.16168505,0.095995612,0.10799545,0.05523067,0.084939755,0.76999998,0.059405942,0.042617962,0.037913382,4.0,0.8555922220000001,6.442943496,2.0,86.0,14.0,69.0,3.0,300,300
vha_436GL,436,8 Second Avenue Southeast,Cut Bank,MT,30035,13.74188827,15.47855525,16.63159248,0.5004015,0.31600848,0.098766334,0.12913351,0.11409592,0.10555515,0.12197971,0.070443101,0.031024162,0.01299365,0.32491422,0.002773925,0.65114242,0.001167969,0.39159933,0.13389204,0.52638143,0.28364724,0.12411126,0.065860048,0.074686319,0.10037594,0.045743328,0.26129031,0.005633803000000001,0.10073181,0.069306932,0.008179079,0.016788635,0.092337497,0.028626775,0.00193715,0.03142488,0.027120104,0.28476107,0.16853207,0.046706844,0.12354714,0.16272062,0.22750753,0.023461042,0.039173484,0.079638399,0.0553164,0.029487731,0.070813604,0.10525183,0.020878175,0.10352992,0.028626775,0.053594489,0.14073719,0.15414074,0.068693154,0.06773576099999999,0.051460028,0.060076591,0.043800861,0.071086645,0.023216851,0.050741982000000005,0.06462422,0.06606032,0.046912398,0.031115366,0.059597895,0.19607463,0.36905622,0.33556959,0.22421823,0.20609812,0.0,0.40359721,0.041666668,0.030769231,4.0,0.629999995,6.442943496,2.0,86.0,14.0,69.0,3.0,373,186
vha_436GM,436,629 Northeast Main Street,Lewistown,MT,30027,13.46071185,15.47855525,16.92860213,0.50403619,0.20402732,0.061296903,0.11647299,0.10644904,0.12481149,0.15967356,0.12569857,0.069458,0.032112125,0.95129955,0.001596736,0.00718531,0.010378781,0.56177855,0.13787943,0.36633664,0.344482,0.22084038,0.06834098,0.023331063,0.033114653,0.01160614,0.018656716,0.0,0.11455972,0.091717526,0.060854401,0.02510898,0.12816042,0.03347864,0.015693113,0.042894509,0.052659109,0.23714037,0.07951176900000001,0.070793375,0.047428071,0.17680907,0.18971229,0.045510028,0.00331299,0.057890147,0.031734962,0.017262423,0.13025284,0.12868352,0.024585877000000003,0.11316478,0.032083698,0.048997384000000005,0.056080401,0.060703516,0.040804021,0.055276383,0.05869346900000001,0.075175881,0.051055275,0.049246233,0.049045227,0.11497487,0.098894469,0.09668342,0.06592965099999999,0.064321607,0.06311557400000001,0.17716137,0.19394471,0.12592827,0.1192401,0.13948417,0.23076923,0.25,0.032876406000000004,0.060960658,3.0,0.870000005,6.442943496,2.0,86.0,14.0,69.0,3.0,367,367
